C009;abcdxyzgh123;Abcd@123;TrungNgoLamBao1;sdjklfjsdlfjsdfklsdjfkdsjf;0000000000;1000.0;Users/C009.png
C008;trungngohaha;Abcd@123;klsdjgdfkgdfklgdjfg;ksdjklsdjgskljgsdklgjldsg;9999999999;0.0;Users/C008.png
C019;trunghihi1234;Abcd@123;Trung Ngo ne;300/3 TDT ne;0812351234;865.0;Users/C019.png
C007;skfjlsdfjlskdfjsdklfjkd;Abcd@123;asdjkfjklasdfjsdlkfjsdklfj;kldfgjkldfjgkldjgdklgjdfklg;0000000000;0.0;Users/C007.png
C018;kienvclkien123;Abcd@123;Vo Nguyen Kienvcl;2003, Chung cu sunrize;0912321456;1000.0;Users/C018.png
C006;trungxiro123;Abcd@123;Ngo Lam Bao Trung;300/3 Trinh Dinh Trong;0928187158;9640.0;Users/C006.png
C017;trungxiro12345;Abcd@123;Trung Ngo Lam Ba;sdkfdsklgjdlfkgjdklfgjklsdf;0965234121;1000.0;Users/default.jpg
C005;MinhBiKicked;Abcd@123;Dinh Ngoc Minh ;Ki tuc xa RMIT hahah;0918956177;0.0;Users/C005.png
C016;aceofdiamond;Abcd@123;Trung Ngo Lam Bao;kasfjslkfjsklfjsdklfjdsfsdf;0923142312;1000.0;Users/default.jpg
C004;kienvclkien1;Abcd@123;Vo Nguyen Kien ;River Side heheheeee;0834875899;1000.0;Users/C004.png
C003;TrungNgo2111;Abcd@123;TrungNgo2121211;300/3 Trinh Dinh Tro;0975986599;0.0;Users/C003.png
C014;vyxinhdep123;Abcd@123;Truong Ngoc Thao Vy;53/300 Huynh Binh Trong;0341985128;234.0;Users/default.jpg
C002;1234;123;123;123;123;0.0;Users/C002.png
C013;trungxiro1234;Abcd@123;TrungNgoLamBao123;2000000/3 RMIT VietNam;0000000000;350.0;Users/default.jpg
C001;123;123;Sung ting wong;256/2 so nha so 13;0986789123;0.0;Users/C001.png
C012;trunghihi123;Abcd@123;sdsdfsdfsdfsdfsdfdsf;dfasfasdffffffffffffffffffffffff;9999999999;1000.0;Users/C012.png
C000;Trungru;123;Dinh Ngo Minh b;300/3 Duong Van Minh;0965756123;580.0;Users/C000.png
C011;trungxiro122;Abcd@123;TrungNgoLamBaoq;dsfjksajfjsdfsfksdfjdfj;0000000000;1000.0;Users/C011.png
C010;1;1;TrungNgo2121211;300/3 Trinh Dinh Tro;0975986599;0.0;Users/C003.png
C021;trunghaha123;Abcd@123;Ngo Lam Kien;300/3 TDTfdfdf;0123341245;1000.0;Users/C021.png
C020;khoaleene123;Abcd@123;Anh Khoa ne;123 Rmit;0912312312;1000.0;Users/default.jpg
ADMIN;admin;Admin;TrungNgo2121211;300/3 Trinh Dinh Tro;0975986599;0.0;0.0
